2018-09-16 20:14:13,b'RT @TommyRo89943568: Based Amy - Attack Update - Tommy Robinson - CASH REWARD https://t.co/iqc0GUwbU4 @realbasedamy @ActivePatriots @Active\xe2\x80\xa6',🏍♠Outlaw biker♠🏍,biker_outlaw,,27,0
2018-09-16 20:10:51,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',🇬🇧🇬🇧SORT IT OUT 🇬🇧🇬🇧,BrexitscouseOut,"Liverpool, England",168,0
2018-09-16 20:09:49,b'#writing My name was #editing #name\nhttps://t.co/e07EhatSpF',Tom Gillispie,EDITORatWORK,"Rural Hall, North Carolina, USA",0,0
2018-09-16 20:09:29,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Garry Rands,GarryRands,"Nr Doncaster, England",168,0
2018-09-16 20:08:20,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Sandy man,Sandyma69849094,,168,0
2018-09-16 20:05:06,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Stanley John Rorbach,john_rorbach,,168,0
2018-09-16 20:04:58,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Old MacDonald ❌,OldMacDonald17,,168,0
2018-09-16 19:59:07,"b'RT @IBXTechnologies: So, it is time to announce Premium Names.\nCheck out the premium listing.\nhttps://t.co/MRLxY8gUzp\n#domain #premium #nam\xe2\x80\xa6'",DomainBookers.net,DomainBookers,"Ajman, United Arab Emirates",4,0
2018-09-16 19:58:16,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Mallory Knox 💋🇬🇧,MalloryKnox__81,,168,0
2018-09-16 19:57:48,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Dave Collins #Brexit 🇬🇧 #QFDBanlifted,Davcol1,"South East, England",168,0
